address,ip,port,protocol,anonymity,latency,ssl_supported,verified_exit,country_code,country_name,hosting,as_name,org,target_ok,target_latency
13.244.203.188:25125,13.244.203.188,25125,socks5,elite,0.532,True,True,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
113.250.190.81:32735,113.250.190.81,32735,socks5,elite,0.457,True,False,CN,China,residential,AS134420 Chongqing Telecom,Chinanet CQ,False,0.0
13.244.203.188:19188,13.244.203.188,19188,socks5,elite,0.541,True,True,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
193.233.139.106:1080,193.233.139.106,1080,socks5,elite,0.343,True,True,FI,Finland,residential,AS210644 AEZA GROUP LLC,Aeza Group LLC,False,0.0
16.28.32.67:38567,16.28.32.67,38567,socks5,elite,0.524,True,True,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
3.110.45.110:8254,3.110.45.110,8254,socks5,elite,0.466,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
3.110.68.130:5497,3.110.68.130,5497,socks5,elite,0.468,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
3.110.45.110:9991,3.110.45.110,9991,socks5,elite,0.466,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
3.110.45.110:5575,3.110.45.110,5575,socks5,elite,0.468,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
13.201.175.168:1083,13.201.175.168,1083,socks5,elite,0.471,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
13.245.171.157:26226,13.245.171.157,26226,socks5,elite,0.519,True,True,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
98.130.142.218:22344,98.130.142.218,22344,socks5,elite,0.45,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
98.130.142.218:9999,98.130.142.218,9999,socks5,elite,0.449,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
3.110.45.110:5366,3.110.45.110,5366,socks5,elite,0.463,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
98.130.142.218:53873,98.130.142.218,53873,socks5,elite,0.438,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
98.130.142.218:50771,98.130.142.218,50771,socks5,elite,0.443,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
51.34.24.52:8081,51.34.24.52,8081,socks5,elite,0.279,True,False,CH,Switzerland,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (eu-central-2),False,0.0
3.110.45.110:34481,3.110.45.110,34481,socks5,elite,0.475,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
3.110.45.110:25710,3.110.45.110,25710,socks5,elite,0.466,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
3.110.68.130:26837,3.110.68.130,26837,socks5,elite,0.478,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
3.110.68.130:39593,3.110.68.130,39593,socks5,elite,0.47,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
98.130.11.240:9090,98.130.11.240,9090,socks5,elite,0.452,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
98.130.142.218:10247,98.130.142.218,10247,socks5,elite,0.446,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
3.110.68.130:11265,3.110.68.130,11265,socks5,elite,0.469,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
3.110.68.130:26577,3.110.68.130,26577,socks5,elite,0.472,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
3.110.68.130:8087,3.110.68.130,8087,socks5,elite,0.469,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
18.60.247.31:39657,18.60.247.31,39657,socks5,elite,0.45,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
3.110.68.130:8013,3.110.68.130,8013,socks5,elite,0.471,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
